key,EN text,current ZH,issue tags,proposed ZH,reviewer,status
"heroMasterElfCaption","Master Elf","Master Elf","same_as_en","","Master Elf team","open"
"heroHeadline1Prefix","","","empty","","Master Elf team","open"
"tooltipInstagram","Instagram","Instagram","same_as_en","","Master Elf team","open"
"tooltipTikTok","TikTok","TikTok","same_as_en","","Master Elf team","open"
"solarTerm01","Lichun (立春)","Lichun (立春)","same_as_en","","Master Elf team","open"
"solarTerm02","Yushui (雨水)","Yushui (雨水)","same_as_en","","Master Elf team","open"
"solarTerm03","Jingzhe (惊蛰)","Jingzhe (惊蛰)","same_as_en","","Master Elf team","open"
"solarTerm04","Chunfen (春分)","Chunfen (春分)","same_as_en","","Master Elf team","open"
"solarTerm05","Qingming (清明)","Qingming (清明)","same_as_en","","Master Elf team","open"
"solarTerm06","Guyu (谷雨)","Guyu (谷雨)","same_as_en","","Master Elf team","open"
"solarTerm07","Lixia (立夏)","Lixia (立夏)","same_as_en","","Master Elf team","open"
"solarTerm08","Xiaoman (小满)","Xiaoman (小满)","same_as_en","","Master Elf team","open"
"solarTerm09","Mangzhong (芒种)","Mangzhong (芒种)","same_as_en","","Master Elf team","open"
"solarTerm10","Xiazhi (夏至)","Xiazhi (夏至)","same_as_en","","Master Elf team","open"
"solarTerm11","Xiaoshu (小暑)","Xiaoshu (小暑)","same_as_en","","Master Elf team","open"
"solarTerm12","Dashu (大暑)","Dashu (大暑)","same_as_en","","Master Elf team","open"
"solarTerm13","Liqiu (立秋)","Liqiu (立秋)","same_as_en","","Master Elf team","open"
"solarTerm14","Chushu (处暑)","Chushu (处暑)","same_as_en","","Master Elf team","open"
"solarTerm15","Bailu (白露)","Bailu (白露)","same_as_en","","Master Elf team","open"
"solarTerm16","Qiufen (秋分)","Qiufen (秋分)","same_as_en","","Master Elf team","open"
"solarTerm17","Hanlu (寒露)","Hanlu (寒露)","same_as_en","","Master Elf team","open"
"solarTerm18","Shuangjiang (霜降)","Shuangjiang (霜降)","same_as_en","","Master Elf team","open"
"solarTerm19","Lidong (立冬)","Lidong (立冬)","same_as_en","","Master Elf team","open"
"solarTerm20","Xiaoxue (小雪)","Xiaoxue (小雪)","same_as_en","","Master Elf team","open"
"solarTerm21","Daxue (大雪)","Daxue (大雪)","same_as_en","","Master Elf team","open"
"solarTerm22","Dongzhi (冬至)","Dongzhi (冬至)","same_as_en","","Master Elf team","open"
"solarTerm23","Xiaohan (小寒)","Xiaohan (小寒)","same_as_en","","Master Elf team","open"
"solarTerm24","Dahan (大寒)","Dahan (大寒)","same_as_en","","Master Elf team","open"
